Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,Host,Isolation_Source,Collection_Date
MT291828,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MT291829,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29774,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MT291830,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MN996527,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MN996528,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MN996529,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MN996530,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MN996531,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MT049951,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China: Yunnan,Homo sapiens,"lung, oronasopharynx",1/17/2020
MT253696,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/23/2020
MT253697,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/23/2020
MT253698,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/23/2020
MT253699,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/24/2020
MT253700,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/25/2020
MT253701,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/21/2020
MT253702,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/21/2020
MT253703,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/25/2020
MT253704,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/25/2020
MT253705,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/22/2020
MT253706,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/22/2020
MT253707,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/25/2020
MT253708,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/21/2020
MT253709,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/21/2020
MT253710,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,complete,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",1/21/2020
LR757995,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,partial,China:Wuhan,Homo sapiens,,12/26/2019
LR757996,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,partial,China:Wuhan,Homo sapiens,,1/1/2020
LR757997,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29388,partial,China:Wuhan,Homo sapiens,,12/31/2019
LR757998,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,partial,China:Wuhan,Homo sapiens,,12/26/2019
MT256924,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Colombia: Antioquia,Homo sapiens,,3/11/2020
MT020781,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,partial,Finland,Homo sapiens,,1/29/2020
MT320538,2020-04-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29679,complete,France,Homo sapiens,,2020-03
MT328032,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Greece,Homo sapiens,oronasopharynx,3/18/2020
MT328033,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,complete,Greece,Homo sapiens,oronasopharynx,3/18/2020
MT328034,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29884,complete,Greece,Homo sapiens,oronasopharynx,3/18/2020
MT328035,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Greece,Homo sapiens,oronasopharynx,3/18/2020
MT012098,2020-03-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,complete,India: Kerala State,Homo sapiens,oronasopharynx,1/27/2020
MT050493,2020-03-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,India: Kerala State,Homo sapiens,oronasopharynx,1/31/2020
MT320891,2020-04-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,complete,Iran,Homo sapiens,oronasopharynx,3/9/2020
MT281530,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,partial,Iran,Homo sapiens,oronasopharynx,3/9/2020
MT276597,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,Israel,Homo sapiens,,2020-02
MT276598,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,Israel,Homo sapiens,,2020-03
MT077125,2020-04-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29785,complete,Italy,Homo sapiens,oronasopharynx,1/31/2020
MT066156,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,Italy,Homo sapiens,"lung, oronasopharynx",1/30/2020
LC534418,2020-03-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,partial,Japan,Homo sapiens,"lung, oronasopharynx",2/14/2020
LC534419,2020-03-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,partial,Japan,Homo sapiens,oronasopharynx,3/9/2020
LC529905,2020-03-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,partial,Japan,Homo sapiens,,2020-01
MT072688,2020-02-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,complete,Nepal,Homo sapiens,oronasopharynx,1/13/2020
MT240479,2020-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,complete,Pakistan: Gilgit,Homo sapiens,oronasopharynx,3/4/2020
MT262993,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,complete,Pakistan: KPK,Homo sapiens,oronasopharynx,3/12/2020
MT263074,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,Peru,Homo sapiens,,3/10/2020
MT324062,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,South Africa: KwaZulu-Natal,Homo sapiens,,3/7/2020
MT304474,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,South Korea,Homo sapiens,oronasopharynx,2/27/2020
MT304475,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,South Korea,Homo sapiens,oronasopharynx,2/29/2020
MT304476,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,South Korea,Homo sapiens,oronasopharynx,2/29/2020
MT039890,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,South Korea,Homo sapiens,,2020-01
MT292569,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain,Homo sapiens,,3/9/2020
MT292570,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain,Homo sapiens,,3/10/2020
MT292571,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain,Homo sapiens,,3/9/2020
MT292572,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain,Homo sapiens,,3/10/2020
MT292573,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain,Homo sapiens,,3/9/2020
MT292574,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain,Homo sapiens,oronasopharynx,3/2/2020
MT292575,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain,Homo sapiens,,3/10/2020
MT292576,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain,Homo sapiens,,3/10/2020
MT292577,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain,Homo sapiens,,3/8/2020
MT292578,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain,Homo sapiens,,3/9/2020
MT292579,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain,Homo sapiens,,3/9/2020
MT292580,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain,Homo sapiens,,2/27/2020
MT292581,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain,Homo sapiens,,2/27/2020
MT292582,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain,Homo sapiens,,3/6/2020
MT256917,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain: Valencia,Homo sapiens,,3/2/2020
MT256918,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain: Valencia,Homo sapiens,,3/6/2020
MT233519,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain: Valencia,Homo sapiens,,2/27/2020
MT233520,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain: Valencia,Homo sapiens,,2/26/2020
MT233521,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,Spain: Valencia,Homo sapiens,oronasopharynx,2/27/2020
MT233522,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain: Valencia,Homo sapiens,,3/2/2020
MT233523,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain: Valencia,Homo sapiens,,3/4/2020
MT198651,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,partial,Spain: Valencia,Homo sapiens,oronasopharynx,3/4/2020
MT198652,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,Spain: Valencia,Homo sapiens,lung,3/5/2020
MT198653,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,partial,Spain: Valencia,Homo sapiens,oronasopharynx,3/8/2020
MT093571,2020-02-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,complete,Sweden,Homo sapiens,,2/7/2020
MT192759,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,complete,Taiwan,Homo sapiens,"lung, oronasopharynx",1/25/2020
MT066175,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,Taiwan,Homo sapiens,,1/31/2020
MT066176,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,Taiwan,Homo sapiens,,2/5/2020
MT327745,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,complete,Turkey,Homo sapiens,,3/17/2020
MT345802,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,complete,USA,Homo sapiens,,3/21/2020
MT345816,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA,Homo sapiens,,3/23/2020
MT324684,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,complete,USA,,,3/25/2020
MT326023,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA,Homo sapiens,,3/24/2020
MT326024,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29685,complete,USA,Homo sapiens,,3/24/2020
MT326025,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29707,partial,USA,Homo sapiens,,3/24/2020
MT326026,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29482,partial,USA,Homo sapiens,,3/24/2020
MT326027,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,USA,Homo sapiens,,3/24/2020
MT326028,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,complete,USA,Homo sapiens,,3/24/2020
MT326029,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,USA,Homo sapiens,,3/24/2020
MT326030,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA,Homo sapiens,,3/24/2020
MT326031,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29775,partial,USA,Homo sapiens,,3/24/2020
MT326032,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,partial,USA,Homo sapiens,,3/23/2020
MT326033,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29534,partial,USA,Homo sapiens,,3/23/2020
MT326034,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,partial,USA,Homo sapiens,,3/23/2020
MT326035,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29778,complete,USA,Homo sapiens,,3/23/2020
MT326036,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29747,complete,USA,Homo sapiens,,3/23/2020
MT326037,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29422,partial,USA,Homo sapiens,,3/23/2020
MT326038,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29440,partial,USA,Homo sapiens,,3/24/2020
MT326039,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,complete,USA,Homo sapiens,,3/23/2020
MT326040,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29820,complete,USA,Homo sapiens,,3/21/2020
MT326041,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29774,complete,USA,Homo sapiens,,3/20/2020
MT326042,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,USA,Homo sapiens,,3/23/2020
MT326043,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29549,partial,USA,Homo sapiens,,3/22/2020
MT326044,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29746,partial,USA,Homo sapiens,,3/23/2020
MT326045,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29600,partial,USA,Homo sapiens,,3/23/2020
MT326046,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA,Homo sapiens,,3/23/2020
MT326047,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29627,partial,USA,Homo sapiens,,3/23/2020
MT326048,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,USA,Homo sapiens,,3/23/2020
MT326049,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,complete,USA,Homo sapiens,,3/23/2020
MT326050,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29451,partial,USA,Homo sapiens,,3/23/2020
MT326051,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA,Homo sapiens,,3/23/2020
MT326052,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,complete,USA,Homo sapiens,,3/23/2020
MT326053,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29763,complete,USA,Homo sapiens,,3/23/2020
MT326054,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29714,complete,USA,Homo sapiens,,3/23/2020
MT326055,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,USA,Homo sapiens,,3/21/2020
MT326056,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,USA,Homo sapiens,,3/24/2020
MT326057,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29424,partial,USA,Homo sapiens,,3/21/2020
MT326058,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,complete,USA,Homo sapiens,,3/24/2020
MT326059,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29643,partial,USA,Homo sapiens,,3/24/2020
MT326060,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29548,partial,USA,Homo sapiens,,3/23/2020
MT326061,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,complete,USA,Homo sapiens,,3/23/2020
MT326062,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29480,partial,USA,Homo sapiens,,3/22/2020
MT326063,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,complete,USA,Homo sapiens,,3/24/2020
MT326064,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29662,partial,USA,Homo sapiens,,3/23/2020
MT326065,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,complete,USA,Homo sapiens,,3/24/2020
MT326066,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,USA,Homo sapiens,,3/24/2020
MT326067,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,USA,Homo sapiens,,3/24/2020
MT326068,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,complete,USA,Homo sapiens,,3/24/2020
MT326069,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,,3/24/2020
MT326070,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,complete,USA,Homo sapiens,,3/24/2020
MT326071,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,complete,USA,Homo sapiens,,3/22/2020
MT326072,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,partial,USA,Homo sapiens,,3/22/2020
MT326073,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29428,partial,USA,Homo sapiens,,3/21/2020
MT326074,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,complete,USA,Homo sapiens,,3/20/2020
MT326075,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,complete,USA,Homo sapiens,,3/20/2020
MT326076,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,complete,USA,Homo sapiens,,3/24/2020
MT326077,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29628,partial,USA,Homo sapiens,,3/24/2020
MT326078,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,complete,USA,Homo sapiens,,3/24/2020
MT326079,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,partial,USA,Homo sapiens,,3/20/2020
MT326080,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29379,partial,USA,Homo sapiens,,3/24/2020
MT326081,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,complete,USA,Homo sapiens,,3/24/2020
MT326082,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,complete,USA,Homo sapiens,,3/23/2020
MT326083,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29683,complete,USA,Homo sapiens,,3/22/2020
MT326084,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29827,complete,USA,Homo sapiens,,3/22/2020
MT326085,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29795,complete,USA,Homo sapiens,,3/20/2020
